V1,V2,Effect,Location,Description
SIRT1 SIR2L1,CDKN1B KIP1,0,..,..
CCND1 BCL1 PRAD1,CDKN1B KIP1,..,N to C,The phoshporylation of Ser10 by Cyclin D1 promotes the translocation from the nucleus to the cytoplasm // p27 from proliferating cells was noninhibitory but that p27 from arrested cells was inhibitory  http://mcb.asm.org/content/28/1/498.full
SRSF6 SFRS6 SRP55,SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3,..,..,..
YWHAE,CDKN1B KIP1,0,..,14-3-3_ deletion leads to significant accumulation of cardiomyocytes in the G0/G1phase by upregulation of p27Kip1¾and downregulation of Cyclin E1
CDKN1B KIP1,YWHAE,0,..,"14-3-3 binding to p27Kip1 by phosphorylation at Thr198, allowing its cytoplasmic localization and degradation http://www.jbc.org/content/277/32/28706.long"
SIRT1 SIR2L1,STAT3 APRF,0,..,"SIRT1, interact with STAT3 and negatively regulate its transcriptional activity, through deacetylation of key STAT3 lysine residues"
CCND1 BCL1 PRAD1,STAT3 APRF,0,..,"cyclin D1 did bind to the transcriptional activation domain of STAT3, suggesting a mechanism whereby STAT3-dependent transcription could be immediately attenuated.  //  cyclin D1 was found to associate with the activation domain of STAT3 upon IL-6 stimulation"
CDKN1B KIP1,STAT3 APRF,..,..,"Downregulation mediated by another molecule, no direct interaction"
CCND1 BCL1 PRAD1,NOTCH1 TAN1,0,..,"JAG1 down-regulation reduces direct binding of Notch to theæcyclin D1æpromoter, reduced cyclin D1 expression and inhibition of cell cycle progression https://link.springer.com/article/10.1007/s10549-009-0621-9"
GLI1 GLI,NOTCH1 TAN1,..,..,..
STAT3 APRF,NOTCH1 TAN1,..,..,"Mediated by Hes proteins, not direct interaction"
YWHAE,TSC1 KIAA0243 TSC,..,..,They are known not to interact
YWHAB,CDKN1B KIP1,0,..,"14-3-3 was found to recognize specifically Thr157-phosphorylated p27NLS and prevented it from binding to importin _, resulting in the inhibition of nuclear import of p27."
YWHAE,YWHAB,..,..,..
TSC1 KIAA0243 TSC,YWHAB,..,..,"14-3-3 beta interacts with TSC2, not TSC1. TSC1/2 form a complex http://www.jbc.org/content/278/4/2089.full"
GSK3B,CCND1 BCL1 PRAD1,0,N,"Phosphorylation of cyclin D1 on Thr286 by GSK-3_ facilitates its association with CRM1, which is a nuclear protein that mediates the nuclear export of proteins, resulting in the exclusion of cyclin D1 from the nucleus to initiate its proteasomal degradation"
CCND1 BCL1 PRAD1,GSK3B,..,..,..
GSK3B,GLI1 GLI,0,..,Gsk3_ serves as a negative kinase regulator of Gli1  //  Gsk3_ act as bipotential in regulation of Gli1. It acts as a negative regulator (by phosphorylating Gli and promote its degradation)
GLI1 GLI,GSK3B,..,..,..
YWHAE,GSK3B,..,..,..
YWHAB,GSK3B,0,..,14-3-3_ binds to GSK3_ and inhibits GSK3_ activity https://www.spandidos-publications.com/or/30/6/2976
GSK3B,NOTCH1 TAN1,1,..,https://www.sciencedirect.com/science/article/pii/S0960982202008886
NOTCH1 TAN1,GSK3B,..,..,..
GSK3B,APP A4 AD1,..,..,"Increasing evidence suggests that in AlzheimerÍs disease pathogenesis, elevated GSK3_ activity is a key event in abnormal APP processing, increased A_ production, and hyperphosphorylation of tau. Amyloid beta-induced GSK3_ is associated with mitochondrial dysfunction via the phosphorylation of VDAC1 and dissociation of heoxokinases with VDAC1 in AlzheimerÍs disease. Elevated GSK3_ further activate abnormal APP processing, leading to increased A_ production, and hyperphosphorylation of tau, like vicious cycle.æ"
APP A4 AD1,GSK3B,0,..,"AICD, a fragment from APP, directly interacts with GSK3B. Decreased phosphorylation, which means higher activity of Gsk3b, but it is mediated by the PI3-kinase signalling pathway https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3073119/"
GSK3B,MAP1B,0,..,"Phosphorylation in Ser1388,  serine 1260, threonine 1265 // It promotes microtubule instability"
MAP1B,GSK3B,..,..,..
GSK3B,TSC1 KIAA0243 TSC,1,..,Gsk3 phosphorylates TSC1. The phosphorylation promotes the formation of the complex TSC1-TSC2  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1603434/
TSC1 KIAA0243 TSC,GSK3B,..,..,..
PSEN1 AD3 PS1 PSNL1,NOTCH1 TAN1,1,..,"Presenilin-1 mediates the S3 cleavage of Notch1, which releases the intracellular part that then can go into the nucleus"
NOTCH1 TAN1,PSEN1 AD3 PS1 PSNL1,..,..,..
PSEN1 AD3 PS1 PSNL1,APP A4 AD1,..,..,Presenilin is the catalytic component of the _-secretase complex that cleavages APP. //  Presenilin-1 promotes the formation of AB plaques
APP A4 AD1,PSEN1 AD3 PS1 PSNL1,..,..,..
